year,15+,15_19,20_29,30_39,40_49,50_59,60+,15_24,15_29,15_64
2000,22151,453,4857,6376,5475,2999,1991,2295,5310,21147
2001,22511,416,4825,6389,5743,3049,2089,2287,5241,21444
2002,22982,354,4829,6433,5990,3158,2220,2299,5182,21832
2003,23043,311,4736,6424,6186,3231,2155,2247,5047,21914
2004,23544,300,4722,6452,6388,3387,2294,2231,5023,22306
2005,23718,275,4599,6420,6471,3598,2355,2075,4875,22423
2006,24024,229,4475,6446,6594,3822,2459,1861,4703,22643
2007,24351,226,4373,6391,6696,4071,2595,1706,4598,22860
2008,24551,210,4246,6331,6774,4341,2649,1544,4456,23016
2009,24582,204,4136,6135,6785,4587,2736,1480,4340,23011
2010,24956,234,4034,6138,6824,4909,2818,1503,4269,23366
2011,25389,256,3973,6085,6865,5257,2953,1544,4229,23747
2012,25781,255,3894,6064,6889,5532,3147,1617,4150,24011
2013,26108,251,3802,6019,6908,5812,3317,1628,4053,24228
2014,26836,270,3909,5991,7054,6083,3528,1758,4179,24841
2015,27153,274,3979,5911,7054,6215,3720,1841,4253,25120
2016,27418,271,4063,5856,6981,6295,3953,1843,4334,25302
2017,27748,270,4063,5833,6931,6442,4210,1801,4333,25520
2018,27895,226,4086,5777,6834,6510,4463,1672,4312,25515
2019,28186,217,4114,5719,6656,6612,4867,1641,4331,25564
2020,28012,178,3955,5558,6510,6548,5264,1501,4133,25134
2021,28310,188,4016,5434,6463,6592,5618,1519,4203,25198
2022,28922,191,4078,5452,6442,6732,6027,1543,4269,25556
2023,29203,172,3970,5500,6381,6793,6387,1448,4142,25580
2024,29399,155,3835,5597,6300,6826,6687,1348,3990,25473
